sub_H,sub_B,pka_H,dipole_H,homo_H,lumo_H,electronegativity_H,Mulliken_charge_C_H,APT_charge_C_H,NPA_charge_C_H,Mulliken_charge_H_H,APT_charge_H_H,NPA_charge_H_H,NICS0,NICS1,pka_B,delta_G_B,delta_G_B_TS,dipole_B,homo_B,lumo_B,electronegativity_B,yield
S27,1i,42.4,1.3906,-0.27412,0.02796,0.12308,-0.037897,-0.16254,-0.26922,0.017401,0.062657,0.23997,-8.9292,-9.8686,36.9,3,14.4,0.4236,-0.31383,0.06937,0.12223,74
S27,1j,42.4,1.3906,-0.27412,0.02796,0.12308,-0.037897,-0.16254,-0.26922,0.017401,0.062657,0.23997,-8.9292,-9.8686,37.4,-0.2,-4.5,0.1165,-0.32347,0.06623,0.12862,63
S28,1c,36.6,2.3937,-0.27411,0.01497,0.12957,-0.084098,-0.045702,-0.28129,0.030256,0.070664,0.24401,-10.5892,-10,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,91
S28,1d,36.6,2.3937,-0.27411,0.01497,0.12957,-0.084098,-0.045702,-0.28129,0.030256,0.070664,0.24401,-10.5892,-10,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,1
S29,1c,31.7,0.5373,-0.26948,0.00104,0.13422,-0.100234,0.011212,-0.3718,0.066338,0.09424,0.25198,-10.3944,-8.7049,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,2
S29,1d,31.7,0.5373,-0.26948,0.00104,0.13422,-0.100234,0.011212,-0.3718,0.066338,0.09424,0.25198,-10.3944,-8.7049,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,90
S3,1g,37.2,2.4913,-0.25022,0.02092,0.11465,0.085287,0.16407,0.00977,0.032127,0.075675,0.22098,-12.5414,-10.0481,35,10.2,16.9,0.7499,-0.33034,0.06897,0.130685,3
S30,1c,30,1.766,-0.27717,-0.01113,0.14415,-0.096949,0.012492,-0.36696,0.070699,0.098302,0.25447,-10.4957,-8.7845,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,1
S30,1d,30,1.766,-0.27717,-0.01113,0.14415,-0.096949,0.012492,-0.36696,0.070699,0.098302,0.25447,-10.4957,-8.7845,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,77
S31,1a,32.7,0.6974,-0.27665,0.00785,0.1344,0.148169,0.245315,0.16425,0.04554,0.095014,0.21569,-10.1741,-8.4963,35,14.2,18.9,1.4392,-0.28457,0.0299,0.127335,95
S31,1b,32.7,0.6974,-0.27665,0.00785,0.1344,0.148169,0.245315,0.16425,0.04554,0.095014,0.21569,-10.1741,-8.4963,35.8,9.7,16,1.0548,-0.28379,0.03702,0.123385,70
S31,1c,32.7,0.6974,-0.27665,0.00785,0.1344,0.148169,0.245315,0.16425,0.04554,0.095014,0.21569,-10.1741,-8.4963,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127035,8
S31,1d,32.7,0.6974,-0.27665,0.00785,0.1344,0.148169,0.245315,0.16425,0.04554,0.095014,0.21569,-10.1741,-8.4963,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,90
S31,1h,32.7,0.6974,-0.27665,0.00785,0.1344,0.148169,0.245315,0.16425,0.04554,0.095014,0.21569,-10.1741,-8.4963,36.7,4.4,26.1,1.2599,-0.32439,0.07122,0.126585,36
S31,1j,32.7,0.6974,-0.27665,0.00785,0.1344,0.148169,0.245315,0.16425,0.04554,0.095014,0.21569,-10.1741,-8.4963,37.4,-0.2,-4.5,0.1165,-0.32347,0.06623,0.12862,66
S31,1k,32.7,0.6974,-0.27665,0.00785,0.1344,0.148169,0.245315,0.16425,0.04554,0.095014,0.21569,-10.1741,-8.4963,38.7,16.5,24.1,2.8902,-0.25787,0.03054,0.113665,32
S32,1c,34.8,0.5339,-0.27921,0.02594,0.126635,-0.117187,-0.05534,-0.4101,0.062571,0.088791,0.24942,-11.2568,-8.9381,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,2
S32,1d,34.8,0.5339,-0.27921,0.02594,0.126635,-0.117187,-0.05534,-0.4101,0.062571,0.088791,0.24942,-11.2568,-8.9381,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,68
S33,1c,37,0.5432,-0.27035,0.05801,0.10617,0.120057,0.126615,0.12596,0.03651,0.086037,0.21011,-10.8894,-8.5649,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,1
S33,1d,37,0.5432,-0.27035,0.05801,0.10617,0.120057,0.126615,0.12596,0.03651,0.086037,0.21011,-10.8894,-8.5649,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,56
S34,1c,32.5,2.1567,-0.26931,0.02806,0.120625,-0.180917,-0.107449,-0.45265,0.056577,0.115543,0.26017,-15.1804,-9.1721,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,4
S34,1d,32.5,2.1567,-0.26931,0.02806,0.120625,-0.180917,-0.107449,-0.45265,0.056577,0.115543,0.26017,-15.1804,-9.1721,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,49
S35,1c,30.5,0.8074,-0.26062,-0.01336,0.13699,-0.110642,-0.109148,-0.40705,0.067078,0.097536,0.25272,-11.23015,-8.62295,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,3
S35,1d,30.5,0.8074,-0.26062,-0.01336,0.13699,-0.110642,-0.109148,-0.40705,0.067078,0.097536,0.25272,-11.23015,-8.62295,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,78
S36,1c,31.5,1.3608,-0.27034,-0.02098,0.14566,-0.101654,-0.092836,-0.39903,0.065384,0.097189,0.25183,-10.0464,-8.2765,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,2
S36,1d,31.5,1.3608,-0.27034,-0.02098,0.14566,-0.101654,-0.092836,-0.39903,0.065384,0.097189,0.25183,-10.0464,-8.2765,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,63
S62,1c,39.3,1.1978,-0.25927,-0.00756,0.133415,-0.143982,-0.244123,-0.31384,-0.008275,0.053335,0.23307,-9.0553,-10.0124,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127035,2
S63,1c,40.7,1.4654,-0.2528,-0.00356,0.12818,-0.141128,-0.212406,-0.33588,0.001512,0.055831,0.23407,-8.8051,-9.8142,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127035,3
S64,1c,41.5,0.1736,-0.2684,0.02994,0.11923,-0.007719,-0.12604,-0.27189,0.011676,0.053115,0.23558,-10.1586,-7.9738,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127035,2
S65,1c,42.7,0.0879,-0.25922,0.06145,0.098885,-0.08308,-0.123542,-0.32988,0.011909,0.073449,0.23731,-9.7498,-7.7695,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127035,2
S66,1c,35,1.9335,-0.27513,-0.02431,0.14972,-0.006931,-0.142417,-0.21017,0.016165,0.064139,0.246,-9.0609,-10.2312,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127035,0
S67,1c,45.7,1.8518,-0.23666,0.03785,0.099405,-0.095623,-0.221831,-0.29617,-0.006066,0.046736,0.22827,-8.0967,-9.3392,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127035,2
S68,1c,36.5,1.4742,-0.26809,0.01008,0.129005,0.058416,0.117456,-0.03736,0.038094,0.090742,0.22414,-11.5945,-8.6273,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127035,0
S69,1a,35.4,4.5313,-0.26009,0.00723,0.12643,0.071321,0.160073,0.01622,0.036865,0.078824,0.22358,-12.5152,-10.0335,35,14.2,18.9,1.4392,-0.28457,0.0299,0.127335,22
S69,1d,35.4,4.5313,-0.26009,0.00723,0.12643,0.071321,0.160073,0.01622,0.036865,0.078824,0.22358,-12.5152,-10.0335,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,23
S70,1c,41.9,1.2909,-0.26504,0.02936,0.11784,-0.034773,-0.148247,-0.25978,0.015193,0.057754,0.23967,-9.0164,-9.7614,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,41
S71,1c,46.9,2.3621,-0.23385,0.03866,0.097595,-0.092517,-0.239212,-0.29245,0.000106,0.046203,0.22679,-7.8729,-9.1743,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,3
